[2026-02-25 00:56:26 UTC] Weather Whale: NEW POSITION — Will the highest temperature in Seattle be 37°F or below on February 13? | Side=yes | Shares=312.904
[2026-02-25 00:56:26 UTC] Weather Whale: NEW POSITION — Will the highest temperature in Atlanta be between 52-53°F on February 13? | Side=yes | Shares=4005.372936
[2026-02-25 00:56:26 UTC] Weather Whale: NEW POSITION — Will the highest temperature in Dallas be 57°F or below on February 13? | Side=yes | Shares=262.5
[2026-02-25 00:56:26 UTC] Weather Whale: NEW POSITION — Will the highest temperature in Atlanta be 51°F or below on February 13? | Side=yes | Shares=430.0
[2026-02-25 00:56:26 UTC] Weather Whale: NEW POSITION — Will the highest temperature in Miami be between 76-77°F on February 12? | Side=yes | Shares=166.778721
[2026-02-25 00:56:26 UTC] Weather Whale: NEW POSITION — Will the highest temperature in Chicago be 39°F or below on February 13? | Side=yes | Shares=2080.845236
[2026-02-25 00:56:26 UTC] Weather Whale: NEW POSITION — Will the highest temperature in Atlanta be between 60-61°F on February 12? | Side=yes | Shares=15.384614
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 21, 9:15AM-9:30AM ET | Side=down | Shares=476.990407
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 10, 6:30PM-6:45PM ET | Side=up | Shares=499.981919
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 5, 8:30AM-8:45AM ET | Side=down | Shares=570.444209
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 14, 8:30AM-8:45AM ET | Side=up | Shares=493.8297
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 7, 3:45PM-4:00PM ET | Side=down | Shares=249.990766
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 27, 9:15PM-9:30PM ET | Side=down | Shares=120.485685
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 22, 2:45AM-2:50AM ET | Side=up | Shares=452.389895
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 22, 3:10PM-3:15PM ET | Side=up | Shares=67.640251
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 8, 3:30PM-3:45PM ET | Side=down | Shares=399.991723
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 29, 8:45AM-9:00AM ET | Side=down | Shares=26.545453
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 21, 3:55PM-4:00PM ET | Side=up | Shares=49.992856
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 22, 6:15PM-6:30PM ET | Side=down | Shares=296.801469
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 12, 9:30AM-9:45AM ET | Side=down | Shares=214.419225
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 23, 11:15AM-11:30AM ET | Side=up | Shares=257.555022
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 23, 11:00AM-11:05AM ET | Side=up | Shares=500.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 22, 8:45PM-9:00PM ET | Side=down | Shares=7773.510201
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 15, 11:30PM-11:45PM ET | Side=up | Shares=3.35
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 10, 11:00PM-11:15PM ET | Side=up | Shares=826.451033
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 1, 9:30PM-9:45PM ET | Side=up | Shares=367.144674
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 19, 4:15PM-4:20PM ET | Side=down | Shares=100.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 11, 6:45PM-7:00PM ET | Side=down | Shares=236.872337
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 12, 4:30AM-4:45AM ET | Side=down | Shares=1213.394252
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 16, 9:00AM-9:15AM ET | Side=up | Shares=5.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 6, 1:00PM-1:15PM ET | Side=up | Shares=249.421943
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 7, 4:30AM-4:45AM ET | Side=up | Shares=3.1
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 10, 12:15AM-12:30AM ET | Side=down | Shares=999.979241
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 16, 2:45AM-3:00AM ET | Side=down | Shares=77.145713
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 23, 2:15PM-2:30PM ET | Side=up | Shares=189.240388
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 4, 3:45PM-4:00PM ET | Side=down | Shares=751.590815
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 11, 12:30AM-12:45AM ET | Side=up | Shares=167.203329
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 16, 11PM ET | Side=down | Shares=125.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 14, 1:35PM-1:40PM ET | Side=down | Shares=50.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 27, 1:45PM-2:00PM ET | Side=down | Shares=769.287357
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 15, 5:45PM-5:50PM ET | Side=up | Shares=149.65
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 9, 6:15PM-6:30PM ET | Side=up | Shares=747.696853
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 5, 9:30AM-9:45AM ET | Side=down | Shares=2.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 16, 10:05AM-10:10AM ET | Side=up | Shares=325.798168
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 13, 12:00PM-12:15PM ET | Side=up | Shares=367.7819
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 20, 3:05AM-3:10AM ET | Side=up | Shares=109.174612
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 23, 3:20PM-3:25PM ET | Side=down | Shares=21.966032
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 17, 6:00AM-6:15AM ET | Side=up | Shares=58.9568
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 20, 12:20AM-12:25AM ET | Side=down | Shares=541.49
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 12, 3:15PM-3:30PM ET | Side=up | Shares=2435.037921
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 17, 5:15AM-5:30AM ET | Side=up | Shares=3.259501
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 2, 8:45PM-9:00PM ET | Side=down | Shares=500.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 17, 10:10PM-10:15PM ET | Side=down | Shares=3.972306
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 4, 8:30PM-8:45PM ET | Side=down | Shares=573.82
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 24, 6:45AM-6:50AM ET | Side=down | Shares=100.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 27, 9:45AM-10:00AM ET | Side=down | Shares=565.421743
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — XRP Up or Down - January 10, 5:00PM-5:15PM ET | Side=down | Shares=50.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 3, 9:15PM-9:30PM ET | Side=up | Shares=411.175706
